Model,ME,RMSE,MAE,MPE,MAPE,Theil_U,MSE,UM,UR,UD
TREND_1,2.147707299e-15,5.294002352,4.038013059,-0.02220200599,7.52149765,28.40526761,28.0264609,1.801408252e-30,7.610949863e-29,1
MA_1,0.1453907297,0.7309615461,0.4282504054,0.3091414996,0.8438419622,1.890831935,0.518419522,5.719162145e-05,0.005951596436,0.9939912119
TREND_2,1.862265131e-13,18.95710468,14.58574541,5.62538814,31.053023,4202.501308,359.371818,5.619483266e-31,4.405674881e-28,1
MA_2,0.4806616216,0.7700842114,0.5394567568,0.4200689023,0.4641146616,2.675625145,0.4116000954,0.05928266965,0.2303627382,0.7103545922
